alone	сам, самотній
already	вже
although	хоча
am	є (для "я")
America	Америка
anything	що завгодно, що-небудь
area	площа, область, район
ball	м'яч, бал
beautiful	красивий, прекрасний
beginning	початок
birds	птахи
blue	синій, блакитний
boat	човен
bottom	дно, нижня частина
box	коробка, ящик
bring	приносити
build	будувати
building	будівля, будівництво
built	побудований
can't	не можу, не може
care	турбота, догляд
carefully	обережно, уважно
carried	ніс, переносив
carry	нести, переносити
center	центр
check	перевіряти, чек
class	клас
coming	прихід, наступний
common	спільний, звичайний
complete	повний, завершувати
dark	темний, темрява
deep	глибокий
distance	відстань, дистанція
doing	робота, дія, роблячи
dry	сухий, сушити
easy	легкий, просто
either	або, один з двох
else	ще, крім
everyone	кожен, всі
everything	все
fact	факт
fall	падати, осінь
fast	швидкий, швидко
felt	відчував, фетр
field	поле, область
finally	нарешті, зрештою
fine	хороший, штраф
floor	підлога, поверх
follow	слідувати, іти за
foot	нога, ступня, фут
friend	друг, приятель
full	повний
game	гра
getting	отримання, стаючи
girl	дівчина, дівчинка
glass	скло, склянка
goes	іде, їде
gold	золото, золотий
gone	пішов, минулий
happened	трапилося, сталося
having	маючи
heart	серце
heavy	важкий
held	тримав, проводив
hold	тримати, утримувати
horse	кінь
hot	гарячий
hour	година
hundred	сто
ice	лід
instead	замість цього
itself	саме по собі, себе
job	робота, професія
kept	тримав, зберігав
language	мова
lay	лежати, класти
least	найменше, щонайменше
leave	залишати, покидати, відпустка
let's	давай, давайте
list	список
longer	довший, довше
low	низький
main	головний, основний
map	карта, мапа
matter	справа, матерія, мати значення
mind	розум, пам'ять, заперечувати
Miss	міс, панночка, сумувати, пропускати
moon	місяць (на небі)
mountain	гора
moving	рухомий, зворушливий
music	музика
needed	необхідний, потрібний
notice	повідомлення, помічати
outside	зовні, на вулиці
past	минуле, повз
pattern	шаблон, візерунок
person	людина, особа
piece	шматок, частина
plant	рослина, завод
poor	бідний, сердешний
possible	можливий
power	сила, влада, енергія
probably	ймовірно, мабуть
problem	проблема, задача
question	питання, запитувати
quickly	швидко
quite	цілком, досить
rain	дощ
ran	біг, бігла
real	справжній, реальний
river	річка
road	дорога, шлях
rock	скеля, камінь, рок
round	круглий, навколо
sat	сидів, сиділа
scientist	учений, науковець
shall	повинен (допоміжне дієслово)
ship	корабель
simple	простий
size	розмір
sky	небо
slowly	повільно
snow	сніг
someone	хтось, хто-небудь
special	спеціальний, особливий
stand	стояти, стенд
start	початок, починати
state	держава, стан, заявляти
stay	залишатися, перебування
stood	стояв, стояла
stop	зупинка, зупиняти
stopped	зупинився
strong	сильний, міцний
suddenly	раптово, зненацька
summer	літо
surface	поверхня
system	система
taken	взятий
talk	розмова, говорити
tall	високий (про зріст)
ten	десять
that's	це є (скорочення)
themselves	самі, себе
third	третій
tiny	крихітний
town	місто (невелике)
tried	пробував, намагався
voice	голос
walk	гуляти, ходити, прогулянка
warm	теплий
watch	дивитися, годинник
weather	погода
whether	чи
wide	широкий
wild	дикий
winter	зима
within	всередині, в межах
writing	письмо, написання
written	написаний
